CustomerID,BirthDate,SSN,AccountID,AccountOpened,AccountType,Age
2.0,1976-12-15,377-98-9839,,2019-03-25,checking,48.39698836413415
3.0,2003-10-18,474-05-7613,86.0,2004-03-02,cd,21.557837097878167
4.0,1985-12-06,750-55-5509,77.0,2059-05-05,cd,39.422313483915126
5.0,2008-02-29,671-43-0485,75.0,2025-05-03,checking,17.190965092402465
6.0,1975-04-05,288-62-9296,56.0,2048-09-21,savings,50.09445585215606
7.0,2016-06-18,593-49-1249,16.0,2087-07-24,savings,8.889801505817934
8.0,2006-10-31,121-74-2917,24.0,2046-11-17,savings,18.521560574948666
9.0,2010-12-10,844-31-4793,29.0,2048-06-01,checking,14.412046543463381
10.0,1988-08-25,857-15-1139,21.0,1998-01-04,checking,36.70362765229295
11.0,1990-11-22,509-92-0704,25.0,2036-03-17,savings,34.46132785763176
12.0,1992-03-31,698-04-7583,80.0,2008-09-07,checking,33.106091718001366
13.0,1993-05-07,304-91-3605,60.0,2001-02-26,checking,32.00547570157426
14.0,1968-06-19,058-28-9758,61.0,2002-08-04,savings,56.8870636550308
15.0,2004-05-09,417-04-6784,83.0,2031-01-21,cd,20.999315537303218
16.0,1990-02-10,527-61-9953,33.0,2047-01-25,cd,35.24161533196441
17.0,1996-10-15,377-72-0498,32.0,2063-08-28,checking,28.56399726214921
18.0,2001-12-22,745-86-2436,70.0,2070-08-26,cd,23.378507871321013
19.0,1978-04-11,412-73-9490,85.0,2019-09-22,savings,47.07734428473648
20.0,2000-12-10,953-24-6512,31.0,2009-08-31,savings,24.410677618069816
21.0,2016-02-16,972-63-5997,13.0,2077-03-09,cd,9.22655715263518
22.0,1957-12-07,550-58-6755,71.0,2016-11-20,savings,67.41957563312799
23.0,2021-12-11,939-09-9746,,2071-09-01,cd,3.4086242299794662
24.0,1996-04-30,041-33-6362,,2050-05-22,cd,29.023956194387406
25.0,1967-01-08,973-93-1469,79.0,1989-11-06,savings,58.332648870636554
26.0,1968-12-13,239-29-2784,41.0,2028-07-28,cd,56.40246406570842
27.0,1966-07-12,450-30-8071,18.0,2023-03-16,checking,58.82546201232033
28.0,1955-12-04,863-97-2245,40.0,1996-02-08,checking,69.42915811088295
29.0,1963-11-21,085-84-6399,54.0,2021-05-09,cd,61.464750171115675
30.0,1963-04-14,168-31-0272,,1970-04-19,savings,62.06981519507187
31.0,1971-07-27,823-39-2138,11.0,2033-06-08,savings,53.78507871321013
32.0,2000-06-17,140-90-4818,38.0,2070-03-26,cd,24.892539356605067
33.0,1955-02-15,986-06-7499,93.0,1967-11-11,cd,70.22861054072553
34.0,1970-10-22,516-24-0314,1.0,2006-11-15,savings,54.54620123203286
35.0,1956-11-01,470-06-0415,95.0,2031-10-28,checking,68.51745379876797
36.0,1991-07-31,198-17-0647,44.0,2028-11-27,cd,33.7741273100616
37.0,2017-07-23,991-68-0187,88.0,2094-12-17,checking,7.794661190965092
38.0,1977-12-05,509-93-1650,,2039-11-09,cd,47.42505133470226
39.0,1952-01-26,810-29-3625,67.0,1983-11-04,checking,73.28405201916496
40.0,1952-03-08,291-98-5506,82.0,1953-05-05,cd,73.1690622861054
41.0,1996-08-30,560-38-9694,3.0,2073-11-13,savings,28.689938398357288
42.0,1958-10-25,705-50-4163,76.0,2036-04-28,cd,66.53798767967146
43.0,1991-09-29,722-56-5854,35.0,2068-07-28,savings,33.609856262833674
44.0,2018-06-12,275-51-1419,,2095-12-10,checking,6.907597535934292
45.0,2015-04-10,931-24-3971,,2078-11-23,savings,10.080766598220396
46.0,1994-09-08,826-66-1458,69.0,1997-05-02,savings,30.666666666666668
47.0,2003-12-30,279-98-4046,87.0,2015-12-17,cd,21.357973990417523
48.0,2002-05-17,286-05-1043,43.0,2027-02-27,cd,22.978781656399725
49.0,2007-10-28,494-36-1748,,2069-08-14,checking,17.530458590006845
50.0,1973-12-02,066-09-7361,,2033-01-08,savings,51.43326488706366
51.0,2013-03-02,038-52-1394,84.0,2014-05-09,checking,12.186173853524982
52.0,1996-10-24,099-84-9627,10.0,2032-09-02,checking,28.539356605065024
53.0,2001-02-18,716-06-9646,,2063-01-25,checking,24.21902806297057
54.0,2017-09-13,403-47-1401,37.0,2066-06-21,cd,7.652292950034223
55.0,1982-02-05,735-11-6346,28.0,2061-02-23,checking,43.25530458590007
56.0,1980-06-14,326-18-7713,2.0,2013-08-21,savings,44.90075290896646
57.0,1998-03-01,356-96-5412,27.0,2049-12-28,checking,27.189596167008897
58.0,2011-10-04,770-07-1306,,2050-11-27,cd,13.596167008898014
59.0,2019-06-26,119-05-0326,89.0,2065-03-29,savings,5.8699520876112254
60.0,1978-05-22,294-50-1419,23.0,2033-02-18,checking,46.965092402464066
61.0,2023-03-31,040-18-6728,53.0,2068-01-17,savings,2.108145106091718
62.0,2022-08-23,719-02-2091,51.0,2090-07-02,cd,2.7104722792607805
63.0,2014-08-18,396-60-6210,46.0,2077-12-30,checking,10.72416153319644
64.0,1966-06-27,566-06-7507,20.0,1977-05-08,checking,58.86652977412731
65.0,2004-10-10,632-10-8112,,2071-12-12,checking,20.577686516084874
66.0,1959-10-01,929-11-8240,,1962-08-06,cd,65.60438056125942
67.0,2019-05-11,392-50-0406,,2036-06-20,savings,5.9958932238193015
68.0,1984-09-15,169-24-7872,,2052-06-10,checking,40.64613278576318
69.0,1999-05-09,063-26-5574,39.0,2068-04-18,checking,26.001368925393567
70.0,1987-08-29,786-80-0915,9.0,2008-10-01,checking,37.69472963723477
71.0,1990-09-27,634-88-5294,73.0,2009-04-12,checking,34.614647501711154
72.0,2008-07-03,371-57-0218,,2023-01-17,savings,16.84873374401095
73.0,2006-10-11,226-86-6547,,2032-07-17,cd,18.576317590691307
74.0,2023-01-19,086-36-1272,,2093-12-24,cd,2.302532511978097
75.0,1990-01-18,708-41-3884,,2024-01-24,savings,35.304585900068446
76.0,1983-03-23,339-04-4840,90.0,2008-04-04,checking,42.130047912388775
